image_name,label,color
label_0_color_0_1.png,0,0
label_0_color_2_1.png,0,2
label_0_color_0_2.png,0,0
label_0_color_1_1.png,0,1
label_0_color_2_2.png,0,2
label_0_color_0_3.png,0,0
label_0_color_1_2.png,0,1
label_0_color_0_4.png,0,0
label_0_color_0_5.png,0,0
label_0_color_1_3.png,0,1
label_0_color_0_6.png,0,0
label_0_color_1_4.png,0,1
label_0_color_2_3.png,0,2
label_0_color_2_4.png,0,2
label_0_color_0_7.png,0,0
label_0_color_1_5.png,0,1
label_0_color_2_5.png,0,2
label_0_color_2_6.png,0,2
label_0_color_0_8.png,0,0
label_0_color_1_6.png,0,1
label_0_color_2_7.png,0,2
label_0_color_2_8.png,0,2
label_0_color_0_9.png,0,0
label_0_color_1_7.png,0,1
label_0_color_1_8.png,0,1
label_0_color_2_9.png,0,2
label_0_color_1_9.png,0,1
label_0_color_2_10.png,0,2
label_0_color_1_10.png,0,1
label_0_color_0_10.png,0,0
label_0_color_0_11.png,0,0
label_0_color_0_12.png,0,0
label_0_color_0_13.png,0,0
label_0_color_2_11.png,0,2
label_0_color_0_14.png,0,0
label_0_color_0_15.png,0,0
label_0_color_0_16.png,0,0
label_0_color_0_17.png,0,0
label_0_color_2_12.png,0,2
label_0_color_2_13.png,0,2
label_0_color_0_18.png,0,0
label_0_color_1_11.png,0,1
label_0_color_1_12.png,0,1
label_0_color_0_19.png,0,0
label_0_color_2_14.png,0,2
label_0_color_0_20.png,0,0
label_0_color_1_13.png,0,1
label_0_color_2_15.png,0,2
label_0_color_0_21.png,0,0
label_0_color_1_14.png,0,1
label_0_color_0_22.png,0,0
label_0_color_0_23.png,0,0
label_0_color_0_24.png,0,0
label_0_color_1_15.png,0,1
label_0_color_2_16.png,0,2
label_0_color_0_25.png,0,0
label_0_color_0_26.png,0,0
label_0_color_0_27.png,0,0
label_0_color_0_28.png,0,0
label_0_color_2_17.png,0,2
label_0_color_0_29.png,0,0
label_0_color_0_30.png,0,0
label_0_color_1_16.png,0,1
label_0_color_1_17.png,0,1
label_0_color_1_18.png,0,1
label_0_color_0_31.png,0,0
label_0_color_2_18.png,0,2
label_0_color_2_19.png,0,2
label_0_color_0_32.png,0,0
label_0_color_0_33.png,0,0
label_0_color_0_34.png,0,0
label_0_color_2_20.png,0,2
label_0_color_0_35.png,0,0
label_0_color_0_36.png,0,0
label_0_color_0_37.png,0,0
label_0_color_0_38.png,0,0
label_0_color_2_21.png,0,2
label_0_color_0_39.png,0,0
label_0_color_1_19.png,0,1
label_0_color_0_40.png,0,0
label_0_color_0_41.png,0,0
label_0_color_0_42.png,0,0
label_0_color_2_22.png,0,2
label_0_color_0_43.png,0,0
label_0_color_0_44.png,0,0
label_0_color_0_45.png,0,0
label_0_color_0_46.png,0,0
label_0_color_1_20.png,0,1
label_0_color_0_47.png,0,0
label_0_color_2_23.png,0,2
label_0_color_1_21.png,0,1
label_0_color_0_48.png,0,0
label_0_color_1_22.png,0,1
label_0_color_1_23.png,0,1
label_0_color_2_24.png,0,2
label_0_color_0_49.png,0,0
label_0_color_1_24.png,0,1
label_0_color_0_50.png,0,0
label_0_color_0_51.png,0,0
label_0_color_1_25.png,0,1
label_0_color_0_52.png,0,0
label_0_color_2_25.png,0,2
label_0_color_1_26.png,0,1
label_0_color_0_53.png,0,0
label_0_color_1_27.png,0,1
label_0_color_0_54.png,0,0
label_0_color_0_55.png,0,0
label_0_color_0_56.png,0,0
label_0_color_0_57.png,0,0
label_0_color_1_28.png,0,1
label_0_color_1_29.png,0,1
label_0_color_0_58.png,0,0
label_0_color_1_30.png,0,1
label_0_color_1_31.png,0,1
label_0_color_0_59.png,0,0
label_0_color_1_32.png,0,1
label_0_color_0_60.png,0,0
label_0_color_2_26.png,0,2
label_0_color_2_27.png,0,2
label_0_color_0_61.png,0,0
label_0_color_2_28.png,0,2
label_0_color_0_62.png,0,0
label_0_color_0_63.png,0,0
label_0_color_2_29.png,0,2
label_0_color_0_64.png,0,0
label_0_color_1_33.png,0,1
label_0_color_0_65.png,0,0
label_0_color_0_66.png,0,0
label_0_color_2_30.png,0,2
label_0_color_1_34.png,0,1
label_0_color_0_67.png,0,0
label_0_color_0_68.png,0,0
label_0_color_2_31.png,0,2
label_0_color_0_69.png,0,0
label_0_color_0_70.png,0,0
label_0_color_0_71.png,0,0
label_0_color_1_35.png,0,1
label_0_color_0_72.png,0,0
label_0_color_2_32.png,0,2
label_0_color_2_33.png,0,2
label_0_color_0_73.png,0,0
label_0_color_2_34.png,0,2
label_0_color_2_35.png,0,2
label_0_color_0_74.png,0,0
label_0_color_0_75.png,0,0
label_0_color_0_76.png,0,0
label_0_color_0_77.png,0,0
label_0_color_0_78.png,0,0
label_0_color_2_36.png,0,2
label_0_color_0_79.png,0,0
label_0_color_0_80.png,0,0
label_0_color_1_36.png,0,1
label_0_color_1_37.png,0,1
label_0_color_2_37.png,0,2
label_0_color_2_38.png,0,2
label_0_color_2_39.png,0,2
label_0_color_0_81.png,0,0
label_0_color_1_38.png,0,1
label_0_color_0_82.png,0,0
label_0_color_0_83.png,0,0
label_0_color_0_84.png,0,0
label_0_color_1_39.png,0,1
label_0_color_0_85.png,0,0
label_0_color_2_40.png,0,2
label_0_color_0_86.png,0,0
label_0_color_0_87.png,0,0
label_0_color_1_40.png,0,1
label_0_color_1_41.png,0,1
label_0_color_0_88.png,0,0
label_0_color_2_41.png,0,2
label_0_color_0_89.png,0,0
label_0_color_1_42.png,0,1
label_0_color_1_43.png,0,1
label_0_color_1_44.png,0,1
label_0_color_1_45.png,0,1
label_0_color_2_42.png,0,2
label_0_color_0_90.png,0,0
label_0_color_0_91.png,0,0
label_0_color_1_46.png,0,1
label_0_color_2_43.png,0,2
label_0_color_2_44.png,0,2
label_0_color_2_45.png,0,2
label_0_color_0_92.png,0,0
label_0_color_1_47.png,0,1
label_0_color_1_48.png,0,1
label_0_color_1_49.png,0,1
label_0_color_0_93.png,0,0
label_0_color_2_46.png,0,2
label_0_color_0_94.png,0,0
label_0_color_0_95.png,0,0
label_0_color_0_96.png,0,0
label_0_color_0_97.png,0,0
label_0_color_0_98.png,0,0
label_0_color_1_50.png,0,1
label_0_color_0_99.png,0,0
label_0_color_0_100.png,0,0
label_0_color_0_101.png,0,0
label_0_color_2_47.png,0,2
label_0_color_1_51.png,0,1
label_0_color_1_52.png,0,1
label_0_color_2_48.png,0,2
label_0_color_2_49.png,0,2
label_0_color_0_102.png,0,0
label_0_color_2_50.png,0,2
label_0_color_0_103.png,0,0
label_0_color_2_51.png,0,2
label_0_color_0_104.png,0,0
label_0_color_1_53.png,0,1
label_0_color_1_54.png,0,1
label_0_color_0_105.png,0,0
